Date,Confirmed,Death
2020/1/20,0,0
2020/1/21,1,0
2020/1/22,1,0
2020/1/23,1,0
2020/1/24,1,0
2020/1/25,3,0
2020/1/26,3,0
2020/1/27,4,0
2020/1/28,6,0
2020/1/29,7,0
2020/1/30,11,0
2020/1/31,14,0
2020/2/1,17,0
2020/2/2,20,0
2020/2/3,2,0
2020/2/4,20,0
2020/2/5,23,0
2020/2/6,25,0
2020/2/7,25,0
2020/2/8,25,0
2020/2/9,26,0
2020/2/10,26,0
2020/2/11,26,0
2020/2/12,28,0
2020/2/13,29,0
2020/2/14,33,1
2020/2/15,41,1
2020/2/16,53,1
2020/2/17,59,1
2020/2/18,65,1
2020/2/19,73,1
2020/2/20,85,1
2020/2/21,93,1
2020/2/22,105,1
2020/2/23,132,1
2020/2/24,144,1
2020/2/25,157,1
2020/2/26,164,1
2020/2/27,186,3
2020/2/28,210,4
2020/2/29,230,5
2020/3/1,239,5
2020/3/2,254,6
2020/3/3,268,6
2020/3/4,284,6
2020/3/5,313,6
2020/3/6,349,6
2020/3/7,408,6
2020/3/8,455,6
2020/3/9,488,7
2020/3/10,514,9
2020/3/11,568,12
2020/3/12,620,15
2020/3/13,675,19
2020/3/14,716,21
2020/3/15,780,22
2020/3/16,814,24
2020/3/17,829,28
2020/3/18,872,29
2020/3/19,914,31
2020/3/20,950,33
2020/3/21,1007,35
2020/3/22,1046,36
2020/3/23,1089,41
2020/3/24,1128,42
2020/3/25,1193,43
2020/3/26,1292,45
2020/3/27,1387,46
2020/3/28,1499,49
2020/3/29,1693,52
2020/3/30,1866,54
2020/3/31,1953,56
2020/4/1,2178,57
2020/4/2,2318,60
2020/4/3,2617,63
2020/4/4,2935,69